region,source,url,author,title,desc,content,publishedAt
Republic of Korea,Reuters,https://www.reuters.com/article/us-china-health-taxi-idUSKCN20L1EO,Reuters Editorial,"Amid virus, Chinese ride-sharing cars install added layer of protection","As Wang Xiurong drives passengers around the Chinese capital amid the coronovirus outbreak, she has an added layer of protection: a plastic sheet separating her from her passengers.","BEIJING (Reuters) - As Wang Xiurong drives passengers around the Chinese capital amid the coronovirus outbreak, she has an added layer of protection: a plastic sheet separating her from her passengers. 
Wang had the sheet installed last week as part of a cam… [+575 chars]",2020-02-27T10:56:19Z
Republic of Korea,Reuters,https://www.reuters.com/article/us-china-health-markets-q-a-idUSKBN20621L,Reuters Editorial,New coronavirus: what markets should watch now,World markets started shrugging off the worst of the coronavirus impact last week and stock markets have since reached record highs. China's announcement that new cases of the so-called COVID-19 detected on Tuesday were at their lowest since Jan 30 has only c…,(Reuters) - World markets started shrugging off the worst of the coronavirus impact last week and stock markets have since reached record highs. China’s announcement that new cases of the so-called COVID-19 detected on Tuesday were at their lowest since Jan 3… [+3040 chars],2020-02-12T14:36:51Z
Republic of Korea,The Washington Post,https://www.washingtonpost.com/health/the-big-numberthe-flu-has-hit-at-least-22-million-people-in-the-us-so-far/2020/02/14/3a83c0cc-4e7f-11ea-b721-9f4cdc90bc1c_story.html,Linda Searing,The Big Number: The flu has hit at least 22 million people in the U.S. so far. - The Washington Post,The Big Number: The flu has hit at least 22 million people in the U.S. so far. The Washington Post Great Falls News Is it influenza or coronavirus? KRTV Great Falls News A second wave of flu hits U.S. kids amid coronovirus outbreak CGTN Flu cases continue to …,"Four months into the flu season, at least 22 million U.S. residents have contracted influenza and possibly as many as 31 million people, according to the Centers for Disease Control and Prevention (CDC). Of those afflicted, about 210,000 have been hospitalize… [+1098 chars]",2020-02-17T13:00:00Z
Republic of Korea,Xataka.com,https://www.xataka.com/empresas-y-economia/industria-tecnologica-impacto-coronavirus-wuhan-cierre-fabricas-problemas-suministros-expectativas-retrasos,Jose García,"La industria tecnológica y el impacto del coronavirus Wuhan: cierre de fábricas, problemas de suministros y expectativas de retrasos","El coronavirus 2019-nCoV, más conocido como coronavirus Wuhan, es una emergencia de salud pública internacional declarada por la OMS. En el momento en que se escriben estas líneas, el virus, que todavía no se conoce del todo bien, ha provocado más de medio mi…","El coronavirus 2019-nCoV, más conocido como coronavirus Wuhan, es una emergencia de salud pública internacional declarada por la OMS. En el momento en que se escriben estas líneas, el virus, que todavía no se conoce del todo bien, ha provocado más de medio mi… [+7422 chars]",2020-02-06T16:01:30Z
Republic of Korea,Heise.de,https://www.heise.de/newsticker/meldung/Twitter-arbeitet-an-Markierungen-fuer-Falschinformationen-4665808.html,Eva-Maria Weiß,Twitter arbeitet an Markierungen für Falschinformationen,"Tweets, die Falschinformationen enthalten, könnten bei Twitter bald mit orangen Hinweisen markiert werden. Die Funktion wird getestet.","Twitter testet eine farbliche Markierung von Tweets, die Falschinformationen enthalten. Die Einschätzungen sollen von verifizierten Faktencheckern und Journalisten kommen. Zudem könnte es einen Gemeinschafts-Report geben, eine Art Plattform auf der sich auch … [+1877 chars]",2020-02-21T12:50:00Z
Republic of Korea,Heise.de,https://www.heise.de/newsticker/meldung/Hannover-Messe-Daten-und-5G-als-Treibstoff-der-Industrie-4659826.html,Arne Grävemeyer,HMI: Hannover Messe: Daten und 5G als Treibstoff der Industrie,Digitalisierung gilt als wichtigster Trend der Hannover Messe 2020. Zur Preview kündigten Aussteller schnelle Einstige in KI und viel Raum für 5G an.,"""Ein funktionsfähiges 5G-Netz"" erwartet die Besucher der Hannover Messe 2020 laut Messechef Dr. Jochen Köckler auf der Messe-Preview. Dieses werde in den Hallen 3 und 21 eingerichtet und Netzausrüstern sowie Anwendern erlauben, die Möglichkeiten des neuen Mob… [+3339 chars]",2020-02-13T13:16:00Z
Republic of Korea,Spiegel Online,https://www.spiegel.de/wirtschaft/unternehmen/coronavirus-27-000-beschaeftigte-von-cathay-pacific-sollen-unbezahlten-urlaub-nehmen-a-7933bd3a-5f19-467a-8a38-ae6b33a63cf7,DER SPIEGEL,Coronavirus: 27.000 Beschäftigte von Cathay Pacific sollen unbezahlten Urlaub nehmen,"Bitte nehmt Urlaub, aber unbezahlt: Mit dieser Botschaft wandte sich der Chef von Cathay Pacific an seine Mitarbeiter. Flugausfälle wegen des Coronovirus machen der Airline schwer zu schaffen.",,2020-02-05T13:02:25Z
Republic of Korea,Spiegel Online,https://www.spiegel.de/wissenschaft/medizin/coronovirus-auf-der-diamond-princess-vom-kreuzfahrtschiff-in-die-welt-a-ef416171-3235-438b-9e31-0cfa6db10a11,DER SPIEGEL,"Coronovirus auf der ""Diamond Princess"": Vom Kreuzfahrtschiff in die Welt","Das Kreuzfahrtschiff ""Diamond Princess"" vor Yokohama sollen nur virusfreie Menschen verlassen. Doch nachdem drei Passagiere in ihren Heimatländern positiv getestet wurden, gibt es Zweifel, ob Japans Maßnahmen reichen.",,2020-02-21T15:48:00Z
Republic of Korea,Yahoo.com,https://news.yahoo.com/greece-confirms-first-coronavirus-case-110201642.html,Reuters,Greece confirms first coronavirus case,"A Greek woman who recently returned home from northern Italy has become Greece's first coronavirus case and she is being closely monitored, the health mi...","ATHENS (Reuters) - A Greek woman who recently returned home from northern Italy has become Greece's first coronavirus case and she is being closely monitored, the health ministry said on Wednesday.
No further information was immediately available on the prev… [+1771 chars]",2020-02-26T11:02:01Z
Republic of Korea,Marketwatch.com,https://www.marketwatch.com/story/the-covid-19-coronavirus-has-left-the-us-flying-blind-in-diagnosing-the-economy-2020-02-29,Jeffry Bartash,Economic Preview: The COVID-19 coronavirus has left the U.S. flying blind in diagnosing the economy,We’re all flying blind when it comes to the U.S. economy: The most recent readings have been rendered useless by the COVID-19 epidemic.,"The biggest decline on Wall Street since the financial panic a decade ago reflects the rising angst over whether the COVID-19 coronavirus can be contained. 
The U.S. is flying blind when it comes to the economy: recent indicators have been rendered useless b… [+3569 chars]",2020-02-29T13:30:08Z
Republic of Korea,Theregister.co.uk,https://www.theregister.co.uk/2020/02/12/mwc_barcelona_2020_cancelled_coronavirus/,Shaun Nichols,Mobile World Congress now none of those things as megashow cancelled by GSMA over coronovirus fears,Mass drop-outs prove too costly for European comms conference Good news for anyone who fancies a cheap vacation in Barcelona at the end of the month: the Mobile World Congress show has been officially cancelled.…,"MWC Good news for anyone who fancies a cheap vacation in Spain at the end of the month: this year's MWC Barcelona, previously known as Mobile World Congress, has been officially cancelled.
Organizing body the GSMA confirmed on Wednesday it will pull the plug… [+4099 chars]",2020-02-12T20:21:38Z
