Region,Total Confirmed* cases ,Confirmed New cases ,Total deaths ,Total new deaths
Republic of Korea,5766,438,35,3
Japan,317,33,6,0
Singapore,110,0,0,0
Australia,66,23,3,2
Malaysia,50,0,0,0
Viet Nam,16,0,0,0
Philippines,3,0,1,0
New Zealand,2,0,0,0
Cambodia,1,0,0,0
Italy,3089,587,107,27
France,282,73,4,0
Germany,262,66,0,0
Spain,198,47,1,1
United Kingdom,89,38,0,0
Switzerland,56,20,0,0
Norway,56,23,0,0
Netherlands,38,10,0,0
Austria,37,13,0,0
Sweden,35,11,0,0
Iceland,26,10,0,0
Belgium,23,15,0,0
San Marino,16,8,0,0
Israel,15,3,0,0
Denmark,10,2,0,0
Croatia,9,0,0,0
Greece,9,2,0,0
Finland,7,0,0,0
Portugal,7,5,0,0
Belarus,6,5,0,0
Czechia,5,0,0,0
Romania,4,0,0,0
Azerbaijan,3,0,0,0
Georgia,3,0,0,0
Russian Federation,3,0,0,0
Bosnia and Herzegovina,2,2,0,0
Estonia,2,0,0,0
Hungary,2,2,0,0
Ireland,2,0,0,0
Andorra,1,0,0,0
Armenia,1,0,0,0
Latvia,1,0,0,0
Lithuania,1,0,0,0
Lithuania,1,0,0,0
Monaco,1,0,0,0
North Macedonia,1,0,0,0
Poland,1,0,0,0
Slovenia,1,1,0,0
Ukraine,1,0,0,0
Liechtenstein,1,0,0,0
Gibraltar,1,0,0,0
Thailand,47,4,1,0
India,29,23,0,0
Indonesia,2,0,0,0
Nepal,1,0,0,0
Sri Lanka,1,0,0,0
Iran,2922,586,92,15
Kuwait,58,2,0,0
Bahrain,49,0,0,0
Iraq,36,5,2,2
United Arab Emirates,27,0,0,0
Oman,15,3,0,0
Lebanon,13,0,0,0
Qatar,8,0,0,0
Pakistan,5,0,0,0
Egypt,2,0,0,0
Morocco,2,1,0,0
Saudi Arabia,2,1,0,0
Afghanistan,1,0,0,0
Jordan,1,0,0,0
Tunisia,1,0,0,0
Palestinian,4,4,0,0
United States,129,21,9,3
Canada,30,0,0,0
Ecuador,7,0,0,0
Mexico,5,0,0,0
Brazil,3,1,0,0
Agrentina,1,0,0,0
Chile,1,0,0,0
Domainician Republic,1,0,0,0
Saint Martin,2,0,0,0
Saint Barthelemy,1,0,0,0
Algeria,12,7,0,0
Senegal,4,3,0,0
Nigeria,1,0,0,0
